193, Date/Time Representations,Representation of Dates and Times                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,NISP Standard
194, STANAG 5500 Ed 7,Concept of NATO Message Text Formatting System (CONFORMETS) - ADatP-3                                                                                                                                                                                                                                                                                                                                                                                                                                               ,NISP Cover Document
195, OASIS CS Genericode 1.0,Code List Representation (Genericode)                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,NISP Standard
196, ZigBee 1.0,ZigBee                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,NISP Standard
197, RFC 7230,Hypertext Transfer Protocol (HTTP/1.1): Message Syntax and Routing                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,NISP Standard
198, STANAG 3377,Air Reconnaissance Intelligence Report Forms                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,NISP Standard
199, SOAP 1.1,Simple Object Access Protocol (SOAP)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,NISP Standard
200,Rsync,rsync                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,Other standard
201, RFC 4514,LDAP: String Representation of Distinguished Names                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,NISP Standard
202, AEDP-06 Ed B Ver 3,NATO Advanced Data Storage Interface (NADSI)                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,NISP Standard
203, STANAG 4586 Ed 4,Standard Interfaces of UAV Control System (UCS) for NATO UAV Interoperability - AEP-84 Edition A                                                                                                                                                                                                                                                                                                                                                                                                                    ,NISP Cover Document
204, Transport Services,Transport Services                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,NISP Standard
205, AComP-4731 Ed A Ver 1,Networking Framework for All-IP Transport Services (NETIP)                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,NISP Standard
206, XEP 0127,XEP-0127: Common Alerting Protocol (CAP) Over XMPP                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,NISP Standard
207, WCS Core,Web Coverage Service Core (WCS):2012                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,NISP Standard
208, IP Performance Parameters,IP packet transfer and availability performance parameters                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,NISP Standard
209, RFC 4301: IPsec Arch,Security Architecture for the Internet Protocol                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,NISP Standard
210, STANAG 2546 Ed 2 / AJMedP-2 Ed A,Allied Joint Medical Doctrine For Medical Evacuation - AJMedP-2 Edition A                                                                                                                                                                                                                                                                                                                                                                                                                                           ,NISP Cover Document
211, RFC 5689,Extended MKCOL for Web Distributed Authoring and Versioning (WebDAV)                                                                                                                                                                                                                                                                                                                                                                                                                                                ,NISP Standard
212, RFC 1738: URL,Uniform Resource Locators (URL)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,NISP Standard
213, STANAG 4214 Ed 2,International Routing and Directory for Tactical Communications Systems                                                                                                                                                                                                                                                                                                                                                                                                                                             ,NISP Standard
214, JPEG 2000: Interactivity,"JPEG 2000 image coding system: Interactivity tools, APIs and protocols                                                                                                                                                                                                                                                                                                                                                                                                                                              ",NISP Standard
215, STANAG (RD) 5518 Ed 3,Joint Range Extension Application Protocol (JREAP) - ATDLP-5.18 Edition B Version 1                                                                                                                                                                                                                                                                                                                                                                                                                                 ,NISP Cover Document
216,APP-6 NATO Joint Military Symbology,APP-6 NATO Joint Military Symbology                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,Roadmap Standard
217, SCIP-213,Mulitimedia Option-Specific MERs for SCIP Devices rev.1.0                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,NISP Standard
218, RFC 4515,LDAP: String Representation of Search Filters                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,NISP Standard
219, RFC 1057: ONC RPC,Open Network Computing (ONC) Remote Procedure Call (RPC) Specification version 2                                                                                                                                                                                                                                                                                                                                                                                                                                    ,NISP Standard
220, RFC 4026: VPN Terminology,Provider Provisioned Virtual Private Network (VPN) Terminology                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,NISP Standard
221,OASIS CMIS v1.1,Content Management Interoperability Services                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,Roadmap Standard
222, STANAG 7194 Ed 2,NATO Imagery Interpretability Rating Scale (NIIRS) - AIntP-7 Edition A                                                                                                                                                                                                                                                                                                                                                                                                                                              ,NISP Cover Document
223, RFC 4031: PPVPNs,Service Requirements for Layer 3 Provider Provisioned Virtual Private Networks (PPVPNs)                                                                                                                                                                                                                                                                                                                                                                                                                             ,NISP Standard
224, DSDL,Information Technology - Document Schema Definition Languages (DSDL) - Part 3: Rules-based validation - Schematron Second Edition                                                                                                                                                                                                                                                                                                                                                                                   ,NISP Standard
225, WS-Federation,Web Services Federation Language (WS-Federation) Version 1.2                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,NISP Standard
226, RFC 5246: TLS v1.2,Transport Layer Security (TLS)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,NISP Standard
227, Ruby Ann.,Ruby Annotation                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,NISP Standard
228, CGI Part 1: Overview,"CGI Part 1: Overview, Profiles and Conformance                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ",NISP Standard
229, STANAG 4691 Ed 2,Multi-hop IP Networking with legacy UHF Radios: Mobile ad hoc relay Line of Sight Networking (MARLIN) - AComP-4691 Edition A                                                                                                                                                                                                                                                                                                                                                                                        ,NISP Cover Document
230, WS-BPEL,Web Services Business Process Execution Language (WSBPEL) version 2.0                                                                                                                                                                                                                                                                                                                                                                                                                                               ,NISP Standard
231, ADatP-03 Ed A Ver 3,Concept of NATO Message Text Formatting System (CONFORMETS)                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,NISP Standard
232, Security Framework - Part 6,Security Framework in Open Systems Part 6: Integrity framework                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,NISP Standard
233, RFC 2392: ID URL,Content-ID and Message-ID Uniform Resource Locators                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,NISP Standard
234, NINE-TP-SA-MER,"NINE-Traffic Protection Suite A MEDLEY Cryptography, v.1.0.4                                                                                                                                                                                                                                                                                                                                                                                                                                                        ",NISP Standard
235, UNIX 98: System Interfaces,"UNIX 98: System Interfaces and Headers, Issue 5                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ",NISP Standard
236, GSM (Full rate),"Digital cellular telecommunications system (Phase 2+) (GSM); Full rate speech, Transcoding, version 8.1.1:1999                                                                                                                                                                                                                                                                                                                                                                                                      ",NISP Standard
237, APP-07 Ed F Ver 2,Joint Brevity Words                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,NISP Standard
238, XMLDSIG-CORE1,XML Signature Syntax and Processing Version 1.1                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,NISP Standard
239, MIL STD 6017B VMF,Variable Message Format (VMF)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,NISP Standard
240, Group 3 Faximile,Standardization of group 3 facsimile terminals for document transmission                                                                                                                                                                                                                                                                                                                                                                                                                                            ,NISP Standard
241, SCIP-233.150,Unencrypted Key Fill Specification Rev. 1.0.                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,NISP Standard
242, RFC 2526: Reserved IPv6 Subnet Anycast Addresses,Reserved IPv6 Subnet Anycast Addresses                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,NISP Standard
243, SAML V2.0,OASIS SAML Metadata Interoperability Profile                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,NISP Standard
244,DGIWG-122 Version 2.0.2,Defence Profile of OGC's Web Feature Service 2.0                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,Other standard
245, Mobile WiMax,Mobile WiMax                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,NISP Standard
246, RFC 2711: IPv6 Router Alert,IPv6 Router Alert Option                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,NISP Standard
247, SPA Part 1,Software Process Assessment Part 1: Concepts and vocabulary                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,NISP Standard
248, ODP Overview,ODP Part 1: Overview                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,NISP Standard
249, STANAG 4486 Ed 4,Super High Frequency (SHF) Military Satellite Communications (MILSATCOM) Frequency Division Multiple Access (FDMA) Non-EPM Modem for Services Conforming to Class-B Of STANAG 4484 - AComP-4486 Edition A                                                                                                                                                                                                                                                                                                           ,NISP Cover Document
250, XEP-0122,XEP-0122: Data Forms Validation                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,NISP Standard
251, ATDLP-7.02(A)(1),NATO Implementation Codes and Rules                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,NISP Standard
252, VMF,Variable Message Format (VMF)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,NISP Standard
253, RS-232,Interface Between Data Terminal Equipment and Data Communications Equipment Employing Serial Binary Data Interchange (identical with ITU-T V.24/V.28:1991)                                                                                                                                                                                                                                                                                                                                                          ,NISP Standard
254, AMP-11 VOL 13 PART 1,Mine Warfare Pilots - Usa (North Carolina Approaches)                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,NISP Standard
255, WiBro,Wireless Broadband                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,NISP Standard
256, XEP-0334,XEP-0334: Message Processing Hints                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,NISP Standard
257, BIFF Cor2,Technical Corrigendum 2 to International Standard ISO/IEC 12087-5:1998                                                                                                                                                                                                                                                                                                                                                                                                                                              ,NISP Standard
258,NBWFed2 and or N-NEB,NBWFed2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,Roadmap Standard
259, STANAG 4193 Ed.3 Part 3,Technical Characteristics of the IFF Mk XIIA System Part III: Installed System Characteristics                                                                                                                                                                                                                                                                                                                                                                                                                      ,NISP Standard
260, ISO/IEC 19944,"Information technology — Cloud computing — Cloud services and devices: Data flow, data categories and data use                                                                                                                                                                                                                                                                                                                                                                                                      ",NISP Standard
261, PDF/A-2,Electronic document file format for long-term preservation -- Part 2: Use of ISO 32000-1 (PDF/A-2)                                                                                                                                                                                                                                                                                                                                                                                                                  ,NISP Standard
262, RFC 2649: LDAP Operational Signatures,An LDAP Control and Schema for Holding Operation Signatures                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,NISP Standard
263, RFC 2205: RSVP,Resource ReSerVation Protocol (RSVP) -- Version 1 Functional Specification                                                                                                                                                                                                                                                                                                                                                                                                                                          ,NISP Standard
264, RFC 4033: DNSSEC Introduction,DNS Security Introduction and Requirements                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,NISP Standard
265, RFC 3629: UTF-8,"UTF-8, a transformation format of ISO/IEC 10646                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ",NISP Standard
266, ACP 133 Suppl.1,Common Directory Services and Procedures Supplement                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,NISP Standard
267, RFC 1191,Path MTU Discovery                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,NISP Standard
268, ATDLP-7.03(A)(1),Interface Control Definiton for the International Exchange of MIDS/JTIDS Network Design Data                                                                                                                                                                                                                                                                                                                                                                                                                        ,NISP Standard
269, XEP-0258,XEP-0258: Security Labels in XMPP                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,NISP Standard
270, RFC 4594: DiffServ Config.,Configuration Guidelines for DiffServ Service Classes                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,NISP Standard
271, RFC 2484: PPP LCP,PPP LCP Internationalization Configuration Option                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,NISP Standard
272, ATDLP-5.01 Ed A Ver 1,Tactical Data Exchange - Link 1 (Point-to-Point)                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,NISP Standard
273, US DoD VVA RPG,Validation Verification and Accreditation Recommended Practices Guide                                                                                                                                                                                                                                                                                                                                                                                                                                               ,NISP Standard
274, WLAN,Wireless LAN medium access control (MAC) and physical layer (PHY) specifications                                                                                                                                                                                                                                                                                                                                                                                                                                    ,NISP Standard
275, RFC 4541,Considerations for Internet group Management protocols (IGMP) and Multicast listener Discovery Snooping Switches                                                                                                                                                                                                                                                                                                                                                                                                    ,NISP Standard
276, STANAG 5042 Ed 1,Military Telecommunications-Diagram Symbols                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,NISP Standard
