25, SDP Update method,The Session Initiation Protocol (SIP) UPDATE Method                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,NISP Standard
26, OGC KML,OGC KML                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,NISP Standard
27, MPEG-4 OFF,Coding of audio-visual objects -- Part 22: Open Font Format                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,NISP Standard
28, RFC 3022: NAT,Traditional IP Network Address Translation (NAT)                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,NISP Standard
29, STANAG 4622 Ed 1,Interoperability standard for Satellite Broadcast Services (SBS))                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,NISP Standard
30, JavaScript media types,Scripting Media Types                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,NISP Standard
31, RFC 3758,Stream Control Transmission Protocol (SCTP) Partial Reliability Extension                                                                                                                                                                                                                                                                                                                                                                                                                                           ,NISP Standard
32,AIntP-11 Intelligence Training,AIntP-11 Intelligence Training                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,Roadmap Standard
33, RFC 768: UDP,User Datagram Protocol (UDP)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,NISP Standard
34, SCIP-233.442,Multipoint Cryptographic Verification Specification Rev. 1.0.                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,NISP Standard
35, ACP 167(K),Glossary of C-E Terms                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,NISP Standard
36, OPC OpenFlight,OpenFlight                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,NISP Standard
37, RFC 4750: OSPF MIB,OSPF version 2 Management Information Base:2006                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,NISP Standard
38, RFC 4868,"Using HMAC-SHA-256, HMAC-SHA-384, and HMAC-SHA-512 with IPsec                                                                                                                                                                                                                                                                                                                                                                                                                                                       ",NISP Standard
39, PLAIN SASL,The PLAIN Simple Authentication and Security Layer (SASL) Mechanism                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,NISP Standard
40, OMT,Object Model Template (OMT) Specification                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,NISP Standard
41, NIST SP 800-56B,Recommendation for Pair-Wise Key Establishment Using Integer Factorization Cryptography                                                                                                                                                                                                                                                                                                                                                                                                                             ,NISP Standard
42, MPEG-4 GFX,Coding of audio-visual objects -- Part 21: MPEG-J Graphics Framework eXtensions (GFX)                                                                                                                                                                                                                                                                                                                                                                                                                               ,NISP Standard
43, GKS Functions,Graphical Kernel System (GKS) -- Part 1: Functional description                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,NISP Standard
44, AETP-11 B,Implementation Options and Guidance for integrating IFF Mk XIIA Mode 5 on Military Platforms (IOG)                                                                                                                                                                                                                                                                                                                                                                                                                  ,NISP Standard
45, STANAG (RD) 5518 Ed 2,Standard for Joint Range Extension Application Protocol (JREAP) - ATDLP-5.18 Edition A                                                                                                                                                                                                                                                                                                                                                                                                                              ,NISP Cover Document
46, RFC 8247,Algorithm Implementation Requirements and Usage Guidance for the Internet Key Exchange Protocol Version 2 (IKEv2)                                                                                                                                                                                                                                                                                                                                                                                                   ,NISP Standard
47, RFC 4754: ECDSA-384,IKE and IKEv2 Authentication Using the Elliptic Curve Digital Signature Algorithm (ECDSA)                                                                                                                                                                                                                                                                                                                                                                                                                           ,NISP Standard
48, RFC 2083: PNG,"Portable Network Graphics (PNG) Specification, v. 1.0                                                                                                                                                                                                                                                                                                                                                                                                                                                               ",NISP Standard
49, ATDLP-5.55 Ed A Ver 1,NATO Qualification Levels for Tactical Data Link Personnel                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,NISP Standard
50, RFC 2463: ICMPv6,Internet Control Message Protocol (ICMPv6) for IPv6                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,NISP Standard
51, ADatP-36 Ed A Ver 1,NATO Friendly Force Information (FFI) Standard for Interoperability of Friendly Force Tracking Systems (FFTS)                                                                                                                                                                                                                                                                                                                                                                                                       ,NISP Standard
52, WSS SAML assertions,SAML Token Profile 1.1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,NISP Standard
53, WML2,Wireless Markup Language (WML) version 2                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,NISP Standard
54, XForms,XForms 1.0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,NISP Standard
55, vmware-vdk50,Virtual Disk Format 5.0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,NISP Standard
56, BFCP,The Binary Floor Control Protocol (BFCP)                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,NISP Standard
57,AMedP-4.10,AJP-4.10                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,Other standard
58, AEP-77 Vol1 Ed A Ver 1,Interoperable Command And Control Data Link For Unmanned Systems (IC2DL) - Top Level Description                                                                                                                                                                                                                                                                                                                                                                                                                    ,NISP Standard
59, RFC 2207: RSVP Ext.,RSVP Extensions for IPSEC Data Flows                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,NISP Standard
60, SCIP-233.441,Point-to-Point Cryptographic Verification Specification Rev. 1.1.                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,NISP Standard
61,AJP-3.20 Ed: A Ver. 1,AJP-3.20                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,Other standard
62, UDDI 3.0,Universal Description Discovery & Integration (UDDI)                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,NISP Standard
63, STANAG 4290 Ed 2,Standard for optical connector medium-rate and high-rate military tactical link - AComP-4290 Edition A Vers. 1                                                                                                                                                                                                                                                                                                                                                                                                      ,NISP Cover Document
64, MPEG-4 AFX,Coding of audio-visual objects -- Part 16: Animation Framework eXtension (AFX)                                                                                                                                                                                                                                                                                                                                                                                                                                      ,NISP Standard
65, RFC 4516,LDAP: Uniform Resource Locator                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,NISP Standard
66, RFC 3416,Version 2 of the Protocol Operations for the Simple Network Management Protocol (SNMPv2)                                                                                                                                                                                                                                                                                                                                                                                                                            ,NISP Standard
67, RFC 1772: BGP-4 Application,Application of the Border Gateway Protocol in the Internet                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,NISP Standard
68, PDF/A-1,Electronic document file format for long-term preservation -- Part 1: Use of PDF 1.4 (PDF/A-1)                                                                                                                                                                                                                                                                                                                                                                                                                      ,NISP Standard
69,MIP 4.3 IES,MIP 4.3 Information Exchange Specification                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,Other standard
70, XLink 1.1,XML Linking Language (XLink) Version 1.1                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,NISP Standard
71, STANAG 4676 Ed 1,"NATO Intelligence, Surveillance And Reconnaissance Tracking Standard – AEDP-12 Edition A                                                                                                                                                                                                                                                                                                                                                                                                                            ",NISP Cover Document
